iter	Logloss
0	0.681557347
1	0.6707753268
2	0.6609993787
3	0.6520079415
4	0.6433800882
5	0.6353809999
6	0.6279876458
7	0.6213706239
8	0.6145548287
9	0.6086682419
10	0.6033260842
11	0.5985512716
12	0.5935444183
13	0.5895655804
14	0.585618742
15	0.5820971781
16	0.5789299925
17	0.5754274257
18	0.5726564421
19	0.56921182
20	0.5662636802
21	0.5639962984
22	0.5610455471
23	0.558665565
24	0.5567438026
25	0.5544750936
26	0.5523142522
27	0.5506965056
28	0.5490863448
29	0.5476914118
30	0.5463814822
31	0.5450621433
32	0.5436550783
33	0.5421109308
34	0.5409421872
35	0.5398832667
36	0.5386636621
37	0.5373790783
38	0.5364884851
39	0.5353997395
40	0.534387813
41	0.5336087325
42	0.5327818421
43	0.5320033014
44	0.53088488
45	0.5302459748
46	0.5294462637
47	0.5287156013
48	0.5282389054
49	0.5277036198
50	0.5269283089
51	0.526234221
52	0.5249458967
53	0.524025827
54	0.5235732395
55	0.522685856
56	0.5221879801
57	0.5218464867
58	0.521358757
59	0.5205783533
60	0.5199786529
61	0.5194765128
62	0.5184437916
63	0.5180208908
64	0.517597409
65	0.5170727236
66	0.5166956123
67	0.5160512393
68	0.5155746522
69	0.515183272
70	0.5142854852
71	0.5139062098
72	0.513511515
73	0.5131842645
74	0.5129302396
75	0.5124332914
76	0.5121146675
77	0.5118196869
78	0.5114038679
79	0.5111142638
80	0.5109142284
81	0.5104347023
82	0.5102171061
83	0.5099994142
84	0.5094460138
85	0.5090828487
86	0.5084546895
87	0.5081650363
88	0.5078622784
89	0.5075641114
90	0.5072603596
91	0.507021893
92	0.5066696363
93	0.5063811896
94	0.5059693096
95	0.5057951626
96	0.5049159
97	0.5043916678
98	0.5041799424
99	0.5039055962
100	0.5035541447
101	0.5033362831
102	0.5029199437
103	0.5027063272
104	0.5023782544
105	0.502153505
106	0.5018881133
107	0.5016287211
108	0.5014233844
109	0.5011989531
110	0.5008968692
111	0.5005732955
112	0.500274278
113	0.4998144689
114	0.4996218623
115	0.4993861236
116	0.4991947884
117	0.4990200792
118	0.4988228536
119	0.4985139638
120	0.4983519034
121	0.4980704091
122	0.4978997357
123	0.497671498
124	0.4971475319
125	0.4969804418
126	0.4965708511
127	0.4963530736
128	0.4959465963
129	0.4958197071
130	0.4956987421
131	0.4955203656
132	0.4951375173
133	0.49497064
134	0.4947856497
135	0.4946170195
136	0.4944584089
137	0.4941886978
138	0.4939628975
139	0.4937688672
140	0.493553292
141	0.4933761844
142	0.4931500765
143	0.4928811159
144	0.4926383175
145	0.4925234633
146	0.4922777095
147	0.4921521933
148	0.4919770331
149	0.4917796673
150	0.4914509704
151	0.4912760441
152	0.4910941546
153	0.4908201339
154	0.4903349445
155	0.4901629579
156	0.4899512842
157	0.4898101451
158	0.4896779733
159	0.4895292199
160	0.4893821203
161	0.4892246021
162	0.4890262843
163	0.488864285
164	0.4886815852
165	0.488496724
166	0.4882803819
167	0.4880787733
168	0.4878690869
169	0.4876007649
170	0.4873994977
171	0.4872026509
172	0.4870421419
173	0.4868584415
174	0.4867410632
175	0.4863971153
176	0.4861857736
177	0.4859717382
178	0.4857629574
179	0.4856409342
180	0.4855250529
181	0.4853590241
182	0.4851214864
183	0.484799141
184	0.4844675931
185	0.4842925778
186	0.4840642192
187	0.4838212278
188	0.4836435977
189	0.4835222647
190	0.4833679398
191	0.4831433143
192	0.4829463292
193	0.4827381651
194	0.4826091534
195	0.4821605319
196	0.4820487914
197	0.4818402714
198	0.4817247545
199	0.4815298936
200	0.4813373643
201	0.4811729912
202	0.4810051917
203	0.4808719633
204	0.4807213211
205	0.4805109326
206	0.4802772656
207	0.4800930725
208	0.4799736285
209	0.4797068152
210	0.4790702158
211	0.4783608014
212	0.4781673522
213	0.4779507207
214	0.477815644
215	0.4776866027
216	0.4775190705
217	0.4773145141
218	0.4766920706
219	0.4765610476
220	0.4763735999
221	0.4762923345
222	0.4761237473
223	0.4760036429
224	0.475791393
225	0.4755939885
226	0.4754365987
227	0.4752824106
228	0.4750783976
229	0.4749637752
230	0.4747496332
231	0.4745977562
232	0.4743874663
233	0.4741705465
234	0.4740173203
235	0.4737721921
236	0.4736217189
237	0.4733731739
238	0.4728470368
239	0.4726781608
240	0.4725426957
241	0.4723425854
242	0.4722217779
243	0.4720733775
244	0.4719301625
245	0.4716964363
246	0.4716250282
247	0.4714950095
248	0.4713753307
249	0.4710671795
250	0.4707750505
251	0.4706442197
252	0.4704527102
253	0.4698444414
254	0.4692725666
255	0.4688949858
256	0.4684873762
257	0.4683010656
