iter	Passed	Remaining
0	189	188861
1	208	103801
2	227	75511
3	248	61798
4	268	53461
5	287	47656
6	307	43652
7	326	40499
8	347	38253
9	368	36477
10	389	34994
11	411	33898
12	439	33332
13	463	32633
14	489	32169
15	515	31679
16	542	31353
17	570	31124
18	603	31149
19	626	30698
20	647	30193
21	673	29959
22	698	29674
23	722	29375
24	744	29049
25	771	28896
26	797	28727
27	822	28551
28	843	28255
29	867	28046
30	889	27799
31	914	27667
32	940	27554
33	963	27385
34	986	27208
35	1009	27027
36	1031	26853
37	1053	26671
38	1077	26555
39	1101	26447
40	1125	26327
41	1148	26188
42	1172	26092
43	1197	26020
44	1221	25930
45	1245	25831
46	1267	25706
47	1290	25602
48	1314	25513
49	1337	25420
50	1361	25329
51	1389	25332
52	1419	25355
53	1459	25559
54	1489	25586
55	1521	25641
56	1552	25687
57	1584	25726
58	1619	25827
59	1653	25903
60	1685	25950
61	1714	25941
62	1747	25992
63	1779	26021
64	1805	25977
65	1835	25976
66	1861	25926
67	1887	25871
68	1912	25804
69	1937	25737
70	1960	25658
71	1985	25593
72	2009	25522
73	2034	25454
74	2057	25370
75	2080	25294
76	2105	25235
77	2127	25146
78	2152	25098
79	2178	25057
80	2203	24995
81	2228	24946
82	2254	24907
83	2280	24864
84	2307	24838
85	2334	24806
86	2358	24751
87	2384	24707
88	2412	24691
89	2439	24669
90	2470	24681
91	2497	24645
92	2527	24648
93	2559	24665
94	2592	24697
95	2622	24695
96	2654	24712
97	2687	24739
98	2715	24711
99	2741	24672
100	2771	24670
101	2799	24649
102	2828	24634
103	2860	24644
104	2885	24597
105	2916	24593
106	2945	24582
107	2975	24574
108	3002	24545
109	3028	24503
110	3054	24463
111	3081	24433
112	3112	24430
113	3150	24484
114	3191	24557
115	3227	24593
116	3260	24605
117	3290	24592
118	3318	24567
119	3349	24561
120	3376	24526
121	3406	24512
122	3448	24591
123	3485	24625
124	3539	24774
125	3599	24965
126	3651	25098
127	3697	25188
128	3741	25259
129	3786	25337
130	3838	25461
131	3881	25524
132	3934	25645
133	3969	25654
134	4006	25671
135	4060	25796
136	4105	25861
137	4148	25913
138	4188	25946
139	4234	26011
140	4280	26077
141	4332	26178
142	4382	26261
143	4430	26338
144	4477	26399
145	4534	26521
146	4573	26540
147	4605	26515
148	4637	26486
149	4669	26460
150	4709	26481
151	4737	26429
152	4771	26416
153	4803	26389
154	4838	26375
155	4866	26326
156	4898	26302
157	4933	26288
158	4972	26302
159	5017	26343
160	5047	26303
161	5080	26281
162	5110	26239
163	5141	26209
164	5173	26180
165	5203	26143
166	5236	26121
167	5286	26181
168	5339	26257
169	5385	26295
170	5435	26352
171	5486	26413
172	5534	26454
173	5573	26456
174	5608	26440
175	5646	26437
176	5682	26420
177	5718	26407
178	5749	26371
179	5782	26340
180	5820	26336
181	5855	26316
182	5888	26289
183	5920	26256
184	5951	26219
185	5992	26224
186	6031	26224
187	6084	26281
188	6119	26257
189	6147	26206
190	6174	26151
191	6204	26111
192	6234	26069
193	6261	26012
194	6286	25952
195	6312	25893
196	6339	25839
197	6400	25925
198	6446	25948
199	6489	25956
200	6531	25962
201	6584	26012
202	6626	26014
203	6666	26012
204	6703	25997
205	6742	25987
206	6785	25995
207	6822	25978
208	6862	25971
